PuzzleId,FEN,Moves,Rating,Themes
03WUg,2kr3r/pppB1pb1/4p2p/4n1p1/2QP4/6Bq/PPP2P1P/2KR2R1 b - - 0 16,e5d7 c4c7,462,mate mateIn1 middlegame oneMove queensideAttack
03YfR,rn1qkbnr/pp2pppp/2p5/4N3/2BP2b1/8/PPP3PP/RNBQK2R b KQkq - 2 6,g4d1 c4f7,971,attackingF2F7 mate mateIn1 oneMove opening
03k5W,4rr1k/p3R1p1/1p5p/2p5/2B2Nn1/2PP4/PP4KP/8 b - - 11 29,e8e7 f4g6 h8h7 g6f8 h7h8 f8g6,1197,crushing endgame fork long
03tiQ,6k1/pbp1nr1p/1p4pQ/4P3/3Pq3/6R1/PP1KNPn1/7R b - - 5 27,e7f5 g3g6 f7g7 h6h7,1611,advantage kingsideAttack middlegame pin short
03tkj,r2q3k/3b2p1/p2p1r1p/1ppB1P2/4P3/4B3/PPP5/2K3QR b - - 1 23,a8a7 e3g5 d8f8 g5f6 f8f6 e4e5 d6e5 g1c5,2482,advantage deflection middlegame pin veryLong
03yiL,4k3/pb3p2/1p1p1r1q/4pQ2/2PpP3/1N1B2Pn/PP3P1P/R4R1K w - - 9 31,f5g4 h3f2 f1f2 f6f2,1154,advantage fork middlegame short
04JOd,r4r2/pp1b3p/5npk/q1p3N1/8/2N1Q3/PP3PPP/R3K2R b KQ - 7 19,a8e8 g5e6 g6g5 e3g5,1738,discoveredAttack discoveredCheck mate mateIn2 middlegame short
04NVI,6k1/1p3p2/p1p5/4P2Q/1P3P1P/P5K1/8/6q1 w - - 1 40,g3f3 g1d1 f3g2 d1h5,1212,crushing endgame queenEndgame short skewer
04VZT,8/1pr4p/p7/P5K1/8/2Pk4/8/1R6 b - - 15 38,c7d7 b1d1 d3c4 d1d7,829,crushing endgame rookEndgame short skewer
04Zsd,8/3k3p/4p1p1/3p1p2/8/1PrP4/P4PPP/3R2K1 w - - 0 27,d1d2 c3c1 d2d1 c1d1,587,backRankMate endgame mate mateIn2 rookEndgame short
04aK0,rBb1qrk1/pp2bppp/4p3/8/2B5/1QP5/PP3PPP/3RK1NR b K - 0 11,a8b8 c4b5 e8d8 d1d8,1336,advantage master middlegame short trappedPiece
04aQg,r5k1/3N1pp1/4p3/2P4p/8/4Q3/5Pq1/3RK3 w - - 2 38,d7e5 a8a2 d1d8 g8h7 d8d2 a2a1 e1e2 g2f1,2430,crushing endgame veryLong
04e5c,8/1R1k2pp/3P4/8/8/3q1N1P/6PK/8 b - - 3 31,d7d6 b7d7 d6d7 f3e5 d7c8 e5d3,1326,attraction crushing endgame exposedKing fork long sacrifice
04p7f,3rr1k1/ppp1qppp/3b4/3P4/8/P4n1P/1PP2PP1/R1BQR1K1 w - - 0 16,d1f3 e7e1,564,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
04pqI,8/2p3pp/N1p3p1/3k4/8/nP5P/2P2PP1/3K4 b - - 0 33,a3b5 c2c4 d5d6 c4b5,1321,crushing endgame fork knightEndgame short
050C0,8/4k3/1p3p2/p7/PP1K1P2/n7/2B5/8 w - - 2 36,b4a5 a3c2 d4c3 c2e3,1905,crushing defensiveMove endgame hangingPiece short
05393,5r1k/p3q1b1/1p4Qp/2p1P3/2P5/1P3KP1/P7/2B4R w - - 1 34,f3g2 e7b7 g2g1 f8f1 g1f1 b7h1 f1e2 h1c1 e5e6 c1b2,1774,attraction crushing deflection endgame skewer veryLong
05FNp,8/p5pk/1p3r1p/3B1bq1/2P5/5QP1/P4P1P/4R1K1 w - - 1 26,e1e5 g5c1 g1g2 f5h3 g2h3 f6f3,1188,advantage discoveredAttack endgame long
05JDw,8/4bk2/RR6/8/3P4/6B1/1PP1p1KP/3q4 w - - 0 37,b6b7 d1f1,1133,dovetailMate endgame mate mateIn1 oneMove
05JYh,2rqk2r/3n1ppp/p1pbp1b1/3pN3/N1PP2P1/5Q1P/PP1B1P2/2R1R1K1 b k - 0 17,g6e4 f3f7,533,attackingF2F7 mate mateIn1 middlegame oneMove
05U8y,6bk/p1R3q1/1p5p/8/P4Q2/1r6/5PP1/6K1 b - - 3 42,g7a1 g1h2 a1g7 c7g7,1513,crushing defensiveMove endgame short
05UEs,6k1/p5pp/8/5r2/8/2N4P/PPP2n2/2K4R w - - 1 26,h1f1 f2d3 c1d2 f5f1,910,crushing discoveredAttack endgame short
05UaC,3r1rk1/1Q5R/2p2qp1/2Pp4/1P3p2/5P2/P1B3PP/4R2K w - - 3 33,e1e7 f6a1 c2b1 a1b1 e7e1 b1e1,1012,backRankMate long mate mateIn3 middlegame
05V7Z,Bn2r1k1/p4ppp/3p4/2p3bP/3p2P1/1P1Q4/1PP1N2q/R2NK3 w Q - 0 21,d1f2 h2g1,1819,master mate mateIn1 middlegame oneMove pin
05aTL,rn1qkbnr/3ppppp/2p5/p7/1PB5/1Q3P2/PB1P1PPP/RN2K2R b KQkq - 1 7,a5b4 c4f7,786,attackingF2F7 mate mateIn1 oneMove opening
05h14,q2k2r1/5R2/4p3/p1BbP3/1pnP1P1N/6N1/P2pQ2P/6K1 w - - 2 38,f7f8 g8f8 c5f8 a8a7 f8c5 a7h7,2197,crushing long middlegame
05lNL,6k1/8/6K1/1R6/1P5p/6r1/8/8 w - - 2 55,g6h5 h4h3 h5h4 h3h2 h4g3 h2h1q,1074,advancedPawn advantage endgame long promotion rookEndgame
05lpm,5k2/p5p1/2p4q/2Pp1Q1B/3b4/6P1/P5KP/8 b - - 1 32,d4f6 f5c8 f6d8 c8d8,777,endgame mate mateIn2 short
05ogd,8/1p3k2/2p2p2/2Pb3P/1P1KpPB1/r6P/8/4R3 w - - 3 37,e1b1 a3d3,1064,endgame master masterVsMaster mate mateIn1 oneMove pillsburysMate
05vpY,8/8/6RP/2k5/1p2r3/4p3/4K3/8 b - - 0 60,c5d4 h6h7 e4h4 g6g4 h4g4 h7h8q,1963,advancedPawn crushing deflection endgame long promotion rookEndgame
06FwQ,2k3rr/1pp5/3pqn2/pP6/P2QP2p/B2P3P/5PP1/R4RK1 w - - 1 22,a1c1 e6h3 c1c7 c8b8 c7c8 b8c8 f1c1 c8b8,2144,advantage defensiveMove middlegame pin veryLong
06P12,5r1k/2p3pp/1p1rP3/p3R3/7q/P1Q5/1P3PPP/4R1K1 w - - 0 26,e6e7 h4f2 g1h1 f2f1 e1f1 f8f1,1183,backRankMate endgame long mate mateIn3 sacrifice
06QjG,3k4/3np3/3P1pP1/3qpQ2/8/2p4P/5P1K/8 b - - 2 45,d5d6 g6g7 d8c7 g7g8q,911,advancedPawn crushing endgame promotion short
06Qto,8/8/2k4P/1p5K/p6B/7r/8/8 b - - 5 57,h3h4 h5h4 a4a3 h6h7,811,advancedPawn crushing endgame hangingPiece short
06REK,r3kb1r/p4ppp/5B2/1p6/Q2P4/2N5/Pq2bPPP/R3KB1R w KQkq - 0 13,c3b5 f8b4 b5c3 e8f8,1632,advantage opening pin short
06jrE,6k1/6p1/p3b2p/2qp4/1p1Nn3/1B6/PPP2rPP/R2Q2K1 w - - 3 22,d4e6 f2f1 g1f1 c5f2,1947,attraction discoveredCheck doubleCheck mate mateIn2 middlegame sacrifice short
06yZ3,5k2/1r3p2/6p1/q4p2/P1BQ4/1P5R/1KP5/8 w - - 4 45,d4d8 a5d8 h3h8 f8e7 h8d8 e7d8,1150,advantage endgame hangingPiece long
07YE8,3r2rk/ppq5/6b1/2p1p1R1/2PbP2Q/1P6/P4P1P/3R3K b - - 0 39,h8g7 g5g6 g7g6 d1g1 g6f7 h4h7 f7e6 h7c7,1747,advantage attraction exposedKing middlegame sacrifice skewer veryLong
07YZu,8/4ppk1/3p2p1/3Pb3/5q2/5P1p/6PP/3R2QK w - - 0 40,d1f1 e5d4 g1d4 f4d4,1717,crushing endgame master short trappedPiece
07qNg,2r3k1/4Bp2/1R3Pp1/8/1Pr2P1p/P3p3/8/1R4K1 w - - 0 36,b1e1 c4c1 g1f1 c1e1 f1e1 h4h3,2608,crushing endgame exposedKing long pin
07qvG,r3k2r/p2n1ppp/2pbpn2/1p6/3P2bQ/1PqBBN2/PN4PP/1R3RK1 b kq - 1 15,a8c8 e3d2 c3d3 b2d3,1847,advantage middlegame short trappedPiece
086MC,3K4/2PR4/8/6k1/8/6p1/8/2r5 w - - 0 53,d7d6 g3g2 c7c8q c1c8 d8c8 g2g1q,1255,advancedPawn crushing endgame long master masterVsMaster promotion rookEndgame
08BK8,6k1/1R4b1/6pp/p4p2/P1p1pP2/7P/6P1/6K1 w - - 1 33,b7a7 g7d4 g1f1 d4a7,870,crushing endgame fork master short
08Erp,4k3/3qb3/2bp4/2P1ppr1/p3Pp1p/PrN2Q1P/1P2BPP1/1R1R2K1 w - - 0 33,c5d6 f5e4 f3h5 g5h5 e2h5 e8f8 d6e7 d7e7,2009,advantage middlegame trappedPiece veryLong
08KSb,r1b1k2r/pp3ppp/2n5/4p1B1/2BqN1n1/3P3N/P1P3PP/R2Q1K1R w kq - 0 12,d1f3 d4a1 f1e2 c6d4 e2d2 d4f3,1942,crushing fork hangingPiece long middlegame
08Tdr,q4rk1/p5pp/np1b4/2p5/8/4Q3/PPP1NP1P/2KR2R1 w - - 0 17,e2c3 d6f4 c1b1 f4e3,1029,advantage middlegame pin short
08fwi,8/2r2pkp/4p1p1/2q5/5Q2/R3P3/5PPP/5RK1 w - - 2 28,f1a1 c5c1 a1c1 c7c1,1173,backRankMate endgame mate mateIn2 sacrifice short
08iCd,8/8/8/1p1pk1p1/2p3Pp/2P1KP1P/1P6/8 b - - 0 40,e5d6 f3f4 g5f4 e3f4,2029,crushing endgame master pawnEndgame short
08xLb,2kr1n1Q/ppq1p3/2p1bnp1/3p4/3P4/5N2/PPP2PPP/RN2K2R w KQ - 2 12,f3e5 f8d7 h8h6 d7e5 d4e5 c7e5,2158,advantage long middlegame
08yCD,Q7/5R2/8/8/5p2/7p/5kp1/7K w - - 0 46,h1h2 g2g1q h2h3 g1g3,1142,advancedPawn endgame mate mateIn2 promotion short
097Nd,8/1R1P4/8/3r1p1k/B4Kp1/8/PP5p/8 w - - 0 42,a4c6 h2h1q c6d5 h1d5,1632,advancedPawn crushing endgame master promotion short
09A9X,4k2r/p3pp2/2pp3p/6p1/4P3/2q3B1/Pr2QPPP/3R1K1R w k - 10 21,e2d3 c3d3 d1d3 b2b1 f1e2 b1h1,1369,crushing long middlegame skewer
09CwC,r4rk1/1p3p1p/p2p2p1/2pP4/P1PbP2q/3B1QNb/1P4P1/3N1R1K w - - 0 24,g2h3 h4h3,865,kingsideAttack mate mateIn1 middlegame oneMove
09Zxu,2rq1rk1/1p2bp1p/p3p1p1/3pP3/3P1Qn1/2N1B2R/PPP3PP/R5K1 b - - 2 16,g4e3 f4h6 e7h4 h3h4 d8h4 h6h4,1379,advantage long middlegame
09eK7,4b3/4P1Pq/8/4KN2/8/5k2/8/8 b - - 2 53,h7g6 f5h4 f3e3 h4g6,992,crushing endgame fork master short
09lOk,Q7/5pk1/B3p1p1/2p5/4P2K/P4P2/1P4qP/8 w - - 0 38,a8b8 g6g5 h4h5 g2h3 h5g5 f7f6 g5f4 h3h2 f4e3 h2b8,2109,crushing endgame interference master skewer veryLong
09qUW,8/8/8/1p6/1ppkn2R/1P6/2P1p3/4K3 b - - 1 69,d4c3 h4e4 c4b3 c2b3,1554,crushing endgame hangingPiece master short
09sfJ,r4rk1/pnqbppbp/1p1p1np1/3P4/2PN4/2BBPN1P/5PP1/RQ3RK1 b - - 3 16,f6d5 c4d5 c7c3 f1c1 c3c1 b1c1,2212,advantage long middlegame trappedPiece
0A1UD,6r1/p2pkp2/1pr4p/2pQP1p1/2P3P1/1R5P/q4P2/1R4K1 b - - 0 29,a2e2 b3b2 e2b2 b1b2,2364,advantage endgame short trappedPiece
0AWPH,r2Q1k1r/p3nppp/2p3q1/8/8/2N1B3/PPb2PPP/2KR3R b - - 3 15,a8d8 d1d8,569,backRankMate mate mateIn1 middlegame oneMove
0AYeq,5n2/p4pk1/1p1R2p1/7p/PP2Br1P/5P2/5PK1/8 b - - 4 35,f7f5 g2g3 f4e4 f3e4,1449,crushing endgame master short trappedPiece
0AYtY,8/6bk/8/3Q4/1P5p/P5qP/3p1rP1/6RK b - - 1 42,f2e2 d5h5 g7h6 h5e2,1483,advantage endgame fork master short
0AzaJ,4R3/p4p1k/5p2/2b2P2/P7/6RP/2Pr2P1/3n2K1 w - - 7 34,g1h1 d1f2 h1h2 c5d6,1645,crushing endgame pin short
0B1qV,r2qk2r/p2b1ppB/2pb1n2/n3p1N1/8/5Q2/PPPP1PPP/RNB1K2R b KQkq - 0 10,f6h7 f3f7,1071,attackingF2F7 mate mateIn1 oneMove opening
0B2wJ,r3k2r/pp1bq3/1bn2n1p/5pp1/5Q2/2NP1N2/PP1BBPPP/2R2RK1 w kq - 0 18,f4c4 c6a5 c3d5 a5c4 d5e7 c4d2,2041,advantage long middlegame trappedPiece
0BI4w,4rk2/1pq2p2/p4QnN/2P5/2P2p2/8/PP3PPP/R3r1K1 w - - 1 29,a1e1 e8e1,496,backRankMate endgame mate mateIn1 oneMove
0BLbz,1k1Q3r/ppp3p1/7p/2q1p3/4P3/6P1/P1P2PBP/3R2K1 b - - 2 21,h8d8 d1d8,919,backRankMate endgame mate mateIn1 oneMove
0BQPu,r1b2rk1/6p1/4p1P1/1p2n3/1PpBP3/5Pq1/2PQ2B1/3K3R b - - 6 30,e5f3 h1h8 g8h8 d2h6 h8g8 h6g7,1736,attraction long mate mateIn3 middlegame pin sacrifice
0BZvN,3r1rk1/ppp1b1pp/2n1b3/5p2/3P4/2PBB3/PP3PPP/RN3RK1 w - - 0 13,b1d2 f5f4 e3f4 f8f4,1273,advantage middlegame short trappedPiece
0BhTt,r3k2r/pbpp1p1R/1p2n3/4P3/5B2/N2PK1P1/PP6/7R b kq - 0 23,b7h1 h7h8 e8e7 h8h1,1964,advantage fork hangingPiece middlegame short
0BjiB,r2q3r/5pk1/3p2p1/7P/1p3Q2/8/1PP5/1NK4R b - - 0 25,d8f6 h5h6 h8h6 f4h6,1221,crushing endgame short
0By3G,7R/1p3pp1/1P4kb/3P4/3p3Q/3Pr1P1/6BK/4q3 w - - 2 41,g2e4 e3e4 h4e4 e1e4 d3e4 d4d3 h8a8 h6c1 a8a4 c1b2 a4a2 d3d2 a2b2 d2d1q,2391,advancedPawn crushing endgame promotion quietMove sacrifice veryLong
0C4T0,r1b1kb2/pppp2p1/2n3Np/2q1p3/2B1n3/8/PPPP1PPP/RNBQK2R w KQq - 2 8,d2d3 c5f2,938,attackingF2F7 mate mateIn1 oneMove opening
0CA66,3k2r1/pQ1b4/4Bn2/8/3n1q2/6Nr/PP3PP1/2R1R1K1 b - - 0 25,d7e6 c1c8 e6c8 b7e7,2204,mate mateIn2 middlegame sacrifice short
0CGzf,8/5k1p/p4b2/3r1p2/PP5n/2B1R2R/5P1P/6K1 w - - 0 44,c3f6 d5d1 e3e1 d1e1,481,endgame mate mateIn2 short
0CRpS,r2qk2r/pbp2ppp/1pnb4/1B1p4/8/4BN2/PPP2PPP/R2Q1RK1 w kq - 0 12,d1d5 d6h2 f3h2 d8d5,979,crushing discoveredAttack kingsideAttack middlegame short
0CXOi,r7/1b1p1Q1p/p1qkp3/1p6/PP4P1/3B2P1/2P4P/R4RK1 w - - 1 23,f7f2 c6h1,1105,mate mateIn1 middlegame oneMove
0CZsI,8/8/1KQ5/8/1p2k3/8/8/1q6 b - - 3 58,e4d3 c6g6 d3d4 g6b1,1229,crushing endgame master queenEndgame short skewer
0CZvy,5r1k/1p4p1/p1p1p2p/3qBr2/1P1P4/1R2Q2P/5PP1/6K1 b - - 13 31,f5f2 e3h6 h8g8 h6g7,1349,endgame mate mateIn2 pin short
0Cozl,r2k2r1/5p2/p1p2Pp1/1qbP4/6P1/1pQK1N1P/1P3P2/3RR3 w - - 6 25,d3d2 c5b4 f3d4 b4c3,1312,advantage middlegame pin short
0CsSG,r7/8/5p1p/PK1k1p2/5P2/6P1/1R5P/8 w - - 3 39,a5a6 a8b8 b5a4 b8b2 a6a7 b2a2,991,crushing endgame long rookEndgame skewer
0Cz6K,5r1k/1Q5p/p4qp1/8/8/8/P4PPP/2r2RK1 w - - 1 29,f1c1 f6f2 g1h1 f2f1 c1f1 f8f1,819,backRankMate endgame long mate mateIn3 sacrifice
0D0ig,Qn3rk1/p1p1b1pp/1p2R3/8/2P5/N7/PP1q1PPP/R5K1 w - - 1 17,e6e7 d2f2 g1h1 f2f1 a1f1 f8f1,889,backRankMate long mate mateIn3 middlegame sacrifice
0D8Nt,rn3rk1/2pp1ppp/1p6/p2q2B1/5PQ1/3P4/P5PP/R4R1K b - - 1 17,h7h6 g5f6 g7g6 f4f5,2445,advantage middlegame pin short
0DOMh,1Q6/4Kpk1/4p1p1/4P2p/5P1P/q5P1/8/8 w - - 5 57,e7e8 a3f8 e8d7 f8b8,1259,crushing endgame master queenEndgame short skewer
0DPNt,6k1/5ppp/1r2pb2/p7/Rp1nP3/1P4P1/6KP/2R5 b - - 0 39,d4b3 c1c8 f6d8 c8d8,529,backRankMate endgame mate mateIn2 short
0DR4N,r3r3/pk4pp/1p3p2/3qn3/8/6B1/PQ3RPP/4R1K1 b - - 2 27,e5f3 f2f3 e8e1 g3e1,1527,advantage middlegame short
0DSYH,1Q3r1k/5ppp/6q1/3N4/p1P4P/8/Pb2RPP1/4R1K1 b - - 0 30,f8b8 e2e8 b8e8 e1e8,532,backRankMate endgame mate mateIn2 short
0DeZO,R7/8/1r2k3/2p1Prp1/2PpRnKp/1P6/3N4/8 b - - 7 44,h4h3 a8h8 f4d3 h8h6 e6e7 h6b6,2328,advantage endgame exposedKing long skewer
0Df3J,8/RP3pp1/4pk2/P1np4/6K1/4P3/1r5P/8 b - - 0 35,b2b7 a7b7 c5b7 a5a6 b7a5 a6a7 a5c4 a7a8q,1096,advancedPawn advantage endgame promotion veryLong
0Dmkf,8/3b2k1/3p2pb/qp1Pp3/4P3/6Pp/2Q2P1P/3N1BK1 b - - 4 42,a5e1 c2c7 e1d1 c7d7,1334,crushing endgame master pin short
0DuXw,6r1/p4k1p/5n2/2p1PQ2/5p2/2P5/P2r2qP/6RK w - - 0 38,g1g2 d2d1 g2g1 d1g1,770,endgame mate mateIn2 short
0EAAx,4r1k1/2pN1ppp/r3n3/p4N2/8/2P3Q1/1q3PPP/R3R1K1 w - - 4 28,e1e6 b2a1 e6e1 a1e1,1237,hangingPiece mate mateIn2 middlegame short
0EBrN,r1bq2rk/ppp2p2/1b3p1p/3np3/1PB1N3/2PP1N1P/P2Q1PP1/R4RK1 b - - 2 15,c8h3 d2h6,463,kingsideAttack mate mateIn1 middlegame oneMove
0EC9g,8/5pk1/1Q2p2p/1P1p2p1/P3q1P1/4Pn1P/5P2/5R1K w - - 3 32,a4a5 f3h4 f2f3 e4c2,2131,crushing defensiveMove discoveredAttack discoveredCheck endgame master short
0EFOe,rn2r1k1/1b4N1/1p1pN2p/p1bp4/2P2PP1/1B6/PP5P/R1B2R1K w - - 0 24,g7e8 d5c4 f1f3 b7f3,1672,discoveredAttack doubleBishopMate kingsideAttack mate mateIn2 middlegame short
